trong	E	B-l	B-l
ngồi	V	I-if3	I-if1
(	V	I-if3	O
hạng	N	I-if3	O
e	V	I-if3	O
)	N	I-if3	O
,	,	O	O
lái	N	O	O
xe	N	B-tv	B-tv
hạng	N	I-tv	I-tv
d	N	I-tv	I-tv
kéo	V	I-tv	I-tv
rơ	V	I-tv	I-tv
-	-	I-tv	I-tv
moóc	V	I-tv	I-tv
(	N	I-tv	O
fd	V	I-tv	O
)	N	I-tv	O
phải	V	O	O
đủ	A	O	O
bao	P	B-qt	B-qt
nhiêu	P	I-qt	I-qt
tuổi	N	I-qt	I-qt
trở	A	I-qt	I-qt
lên	A	I-qt	I-qt

người	N	O	O
lái	N	B-if3	O
xe	N	I-if3	O
chở	V	O	O
người	N	O	O
từ	E	O	O
10	M	B-if3	B-if1
đến	E	I-if3	I-if1
30	M	I-if3	I-if1
chỗ	N	I-if3	I-if1
(	V	I-if3	O
hạng	N	I-if3	O
d	N	I-if3	O
)	M	I-if3	O
,	,	O	O
lái	N	B-a	O
xe	N	I-a	B-tv
hạng	N	I-a	I-tv
c	N	I-a	I-tv
kéo	V	I-a	I-tv
rơ	V	I-a	I-tv
-	-	I-a	I-tv
moóc	V	I-a	I-tv
(	M	O	O
fc	N	O	O
)	A	O	O
phải	V	O	O
đủ	A	O	O
bao	P	B-qt	B-qt
nhiêu	P	I-qt	I-qt
tuổi	N	I-qt	I-qt
trở	A	I-qt	I-qt
lên	A	I-qt	I-qt

trên	E	B-l	B-l
đường	N	I-l	I-l
cao	N	I-l	I-l
tốc	N	I-l	I-l
,	,	O	O
trừ	V	O	O
khi	N	O	O
nhập	V	O	O
làn	N	O	O
và	CC	O	O
tách	V	O	O
làn	N	O	O
,	,	O	O
với	E	O	O
điều	N	O	O
kiện	N	O	O
mặt	N	O	O
đường	N	O	O
khô	A	O	O
ráo	A	O	O
,	,	O	O
xe	N	B-tv	B-tv
cơ	N	I-tv	I-tv
giới	N	I-tv	I-tv
đang	R	O	O
chạy	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
trên	E	B-v	B-v
100	M	I-v	I-v
km	Nu	I-v	I-v

h	V	I-v	I-v
đến	E	I-v	I-v
120	M	I-v	I-v
km	Nu	I-v	I-v

h	N	I-v	I-v
,	,	O	O
người	N	O	O
lái	N	O	O
xe	N	O	O
phải	V	O	O
duy	V	O	O
trì	V	O	O
khoảng	N	B-qt	B-qt
cách	N	I-qt	I-qt
an	A	I-qt	I-qt
toàn	A	I-qt	I-qt
với	E	I-qt	I-qt
xe	N	I-qt	I-qt
đang	R	I-qt	I-qt
chạy	V	I-qt	I-qt
phía	N	I-qt	I-qt
trước	N	I-qt	I-qt
tối	A	I-qt	I-qt
thiểu	A	I-qt	I-qt
là	V	I-qt	I-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

bấm	V	B-a	B-a
còi	N	I-a	I-a
,	,	O	O
rú	V	B-a	B-a
ga	N	I-a	I-a
liên	A	I-a	I-a
tục	A	I-a	I-a
trong	E	B-l	B-l
đô	N	I-l	I-l
thị	N	I-l	I-l
thì	C	O	O
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
phạt	V	I-qt	I-qt
không	R	I-qt	I-qt

khi	N	B-qt	B-qt
nào	P	I-qt	I-qt
bấm	V	B-a	I-qt
còi	N	I-a	I-qt
sẽ	R	O	I-qt
vi	V	B-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt

người	N	O	O
lái	V	O	O
xe	V	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
không	R	B-if3	B-if3
thắt	V	I-if3	I-if3
dây	N	I-if3	I-if3
an	A	I-if3	I-if3
toàn	A	I-if3	I-if3
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
phạt	V	I-qt	I-qt
không	R	I-qt	I-qt

ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đi	V	B-a	O
trên	E	I-a	B-l
làn	N	I-a	I-l
đường	N	I-a	I-l
dành	V	I-a	I-l
cho	E	I-a	I-l
xe	N	I-a	I-l
máy	N	I-a	I-l
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

có	V	B-qt	B-qt
được	R	I-qt	I-qt
dừng	V	B-a	B-a
xe	N	O	O
bên	N	B-l	B-l
trái	A	I-l	I-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
không	R	B-qt	B-qt

đoàn	N	O	O
xe	N	B-tv	O
tang	N	I-tv	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
ưu	V	I-qt	I-qt
tiên	V	I-qt	I-qt
không	R	I-qt	I-qt

các	L	O	O
xe	N	B-tv	B-tv
ưu	V	I-tv	I-tv
tiên	V	I-tv	I-tv
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
hạn	V	I-qt	I-qt
chế	V	I-qt	I-qt
tốc	N	I-qt	I-qt
độ	N	I-qt	I-qt
không	R	I-qt	I-qt

có	V	B-qt	B-qt
được	R	I-qt	I-qt
phép	N	O	O
cho	V	O	O
xe	N	O	O
chạy	V	B-a	O
ở	E	B-l	B-l
làn	N	I-l	I-l
dừng	V	I-l	I-l
xe	N	I-l	I-l
khẩn	V	I-l	I-l
cấp	V	I-l	I-l
trên	E	I-l	I-l
đường	N	I-l	I-l
cao	N	I-l	I-l
tốc	N	I-l	I-l
không	R	B-qt	B-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
được	R	B-if1	O
kéo	V	I-if1	O
có	V	O	O
cần	V	B-qt	O
người	N	I-qt	O
lái	V	I-qt	O
không	R	I-qt	B-qt

xe	N	B-tv	B-tv
kéo	N	I-tv	I-tv
rơ	V	I-tv	I-tv
moóc	N	I-tv	I-tv
có	V	B-qt	B-qt
được	R	I-qt	I-qt
kéo	V	B-a	B-a
thêm	V	I-a	I-a
xe	N	I-a	I-a
khác	A	I-a	I-a
không	R	B-qt	B-qt

xe	N	B-tv	B-tv
kéo	N	I-tv	I-tv
rơ	V	I-tv	B-a
moóc	N	I-tv	I-a
kéo	V	B-a	I-a
thêm	R	I-a	I-a
một	M	I-a	I-a
xe	N	I-a	I-a
rơ	V	I-a	I-a
moóc	N	I-a	I-a
khác	A	I-a	I-a
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

đi	V	B-a	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
lên	R	B-l	B-l
vỉa	N	I-l	I-l
hè	N	I-l	I-l
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
kéo	V	B-a	B-a
theo	V	I-a	I-a
một	M	O	O
xe	N	B-a	B-a
máy	N	I-a	I-a
khác	A	I-a	I-a
đi	V	O	O
trên	E	O	O
đường	N	O	O
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	B-a
xe	N	B-tv	B-tv
đạp	N	I-tv	I-tv
lên	R	B-l	B-l
vỉa	N	I-l	I-l
hè	N	I-l	I-l
không	R	B-qt	B-qt

người	N	B-tp	O
lái	V	I-tp	O
xe	V	I-tp	O
khi	N	O	O
đi	V	O	O
xe	N	O	O
cần	V	B-qt	B-qt
có	V	I-qt	I-qt
những	L	I-qt	I-qt
giấy	N	I-qt	I-qt
tờ	N	I-qt	I-qt
gì	P	I-qt	I-qt

khi	N	O	O
đi	V	O	O
xe	N	O	O
có	V	O	B-qt
cần	V	B-qt	I-qt
mang	V	B-if3	B-a
theo	E	I-if3	I-a
giấy	N	I-if3	I-a
đăng	V	I-if3	I-a
ký	V	I-if3	I-a
xe	N	I-if3	I-a
không	R	B-qt	B-qt

quy	N	B-ano	B-ano
định	N	I-ano	I-ano
chở	V	I-ano	I-ano
hàng	N	I-ano	I-ano
của	E	O	O
xe	N	B-tv	B-tv
thô	A	I-tv	I-tv
sơ	A	I-tv	I-tv
là	C	O	O
như	X	B-qt	B-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

xe	N	O	O
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	N	I-l	I-l
chiều	N	I-l	I-l
có	V	I-l	I-l
2	M	I-l	I-l
làn	Nc	I-l	I-l
xe	N	I-l	I-l
trong	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
có	V	I-l	I-l
1	M	I-l	I-l
làn	Nc	I-l	I-l
xe	N	I-l	I-l
trong	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
trong	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
đôi	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-qt	B-sp
độ	N	I-qt	I-sp
tối	A	I-qt	O
đa	A	I-qt	O
là	V	I-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
7	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	A	I-l	I-l
chiều	A	I-l	I-l
có	V	I-l	I-l
3	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
80	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
20	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
có	V	I-l	I-l
1	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
90	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
30	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
có	V	I-l	I-l
1	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
70	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
tải	N	I-tv	I-tv
có	V	O	O
trọng	N	B-if1	B-if1
lượng	N	I-if1	I-if1
3	M	I-if1	I-if1
tấn	Nu	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
100	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
40	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
40	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
90	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

trên	E	B-l	B-l
đường	N	I-l	I-l
một	N	I-l	I-l
chiều	N	I-l	I-l
có	V	I-l	I-l
2	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
40	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
40	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	A	I-l	I-l
chiều	A	I-l	I-l
có	V	I-l	I-l
3	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
80	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
40	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
giữa	E	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
40	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
giữa	E	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

trên	E	B-l	B-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
có	V	I-l	I-l
1	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
xe	N	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
35	M	B-if1	B-if1
chỗ	N	I-if1	I-if1
ngồi	V	I-if1	I-if1
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
tải	N	I-tv	I-tv
có	V	O	O
trọng	N	B-if1	B-if1
tải	N	I-if1	I-if1
3,7	M	I-if1	I-if1
tấn	Nu	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
đôi	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
100	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
tải	N	I-tv	I-tv
có	V	O	O
trọng	N	B-if1	B-if1
tải	N	I-if1	I-if1
4	M	I-if1	I-if1
tấn	Nu	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
tải	N	I-tv	I-tv
có	V	O	O
trọng	N	B-if1	B-if1
tải	N	I-if1	I-if1
4,5	M	I-if1	I-if1
tấn	Nu	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
hai	M	I-l	I-l
chiều	N	I-l	I-l
không	R	I-l	I-l
có	V	I-l	I-l
dải	N	I-l	I-l
phân	N	I-l	I-l
cách	N	I-l	I-l
giữa	E	I-l	I-l
ngoài	N	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	A	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

xe	N	B-tv	B-tv
tải	N	I-tv	I-tv
có	V	O	O
trọng	N	B-if1	B-if1
tải	N	I-if1	I-if1
3,6	M	I-if1	I-if1
tấn	Nu	I-if1	I-if1
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
một	V	I-l	I-l
chiều	V	I-l	I-l
có	V	I-l	I-l
1	M	I-l	I-l
làn	N	I-l	I-l
đường	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
90	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
giao	N	I-qt	I-qt
thông	N	I-qt	I-qt
không	R	I-qt	I-qt

ngoài	E	B-l	B-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
,	,	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
được	V	O	O
phép	N	O	O
đi	V	O	B-qt
tối	A	B-sp	I-qt
đa	A	I-sp	I-qt
là	V	B-qt	I-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
đôi	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
thì	C	O	O
được	V	O	O
phép	N	O	O
đi	V	O	O
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
tối	A	O	O
đa	A	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
đi	V	O	O
trên	E	B-l	B-l
đường	N	I-l	I-l
đôi	N	I-l	I-l
ngoài	E	I-l	I-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
với	E	O	O
tốc	N	B-sp	B-sp
độ	N	I-sp	I-sp
là	C	O	O
60	M	B-v	B-v
km	Nu	I-v	I-v

h	N	I-v	I-v
có	V	B-qt	B-qt
vi	V	I-qt	I-qt
phạm	V	I-qt	I-qt
luật	N	I-qt	I-qt
